id,severity_reported,severity_normalized,theme,area,files,title,evidence,fix,loc_delta_estimate,sources,in_flight,territory,verify
R-083,Should-fix,Should-fix,boundaries-cycles,jasper/active_speaker/crossover_v2/,"jasper/active_speaker/crossover_v2/diagnostics.py:22-49; round_views.py:30,48; harmonic_evidence.py:77; verification.py:76-78",28 private-name cross-module imports inside crossover_v2 (12 in one half),"diagnostics.py takes 6 privates from capture_dispatch, _rounded from contracts and _band_edge from verification, while all 14 of its own defs are underscore-prefixed and imported by crossover_v2_flow.py:173; round_views takes _evaluate_position/_exclusion_mask/_pool from flat_spec_views and _mapping/_read_candidate from evidence_packet","Promote the four shared coercers (_text, _rounded, _positive, _mapping) to public in contracts.py and drop the underscore on the six capture_dispatch field builders - a name imported by five modules is not private",0,"T13-1-C9,T13-2-C5",,tuning,N
R-084,Should-fix,Should-fix,boundaries-cycles,jasper/audio_measurement/,jasper/audio_measurement/program_analysis/__init__.py:111-312,program_analysis kept a flat god namespace: 32 privates in __all__,"21 have zero production consumers outside the package and exist only so ~105 test call sites reach them (_driver_response 75 refs, _build_candidate 71, _global_offset 44, _select_alignment_pair 41); the 11 with real consumers are imported across a package boundary at harmonic_evidence.py:803-805, distortion.py:632, crossover_v2_flow.py:3242","Promote the 11 to public names, drop the other 21 from __all__ and point tests at the owning submodule; the barrel drops from 140 names to ~90",-60,"T12-1-C1,T12-2-C1",,tuning,Y
R-085,Should-fix,Should-fix,boundaries-cycles,jasper/active_speaker/,jasper/active_speaker/__init__.py:20-229,143 of the 207 lazy re-export doors have zero readers anywhere,AST over every ImportFrom with module == 'jasper.active_speaker' plus an attribute-access grep across jasper/ tests/ scripts/ docs/ .github/: only 64 names survive. The barrel is kept alive by tests/test_active_speaker_package.py:14 parametrizing over __all__ and reaching into the private _LAZY_ATTRS,Delete the 143 entries; the test shrinks with its subject and stops importing every heavy submodule to prove doors nobody opens,-143,"T14-1-F9,T14-2-E,T14-4-E",,tuning,Y
R-086,Should-fix,Should-fix,boundaries-cycles,jasper/active_speaker/,"jasper/active_speaker/crossover_v2_flow.py:255-355,456-830",The four ruled-for-deletion flow barrels are still at HEAD,"134 `NAME = _mod.NAME` assignments: 26 have a production importer through the door (13 angle_capture.py, 5 crossover_envelope_v2.py, 3 web/correction_crossover_v2.py), 93 are imported only by tests/, 15 have no reader anywhere","Delete the 93 test-only doors and repoint those suites at the owning organ; repoint the 26 production names at crossover_v2.{capture_plan,spatial,contracts,durable_state}",-134,T14-2-C1,REFACTOR-CUTOVER S6 deletion order step 1,tuning,Y
R-087,Should-fix,Should-fix,boundaries-cycles,jasper/active_speaker/crossover_v2/,"jasper/active_speaker/crossover_v2/__init__.py:17-52; round_inputs.py:42-57; capture_plan.py:119-123,388,468","Three more re-export barrels inside crossover_v2, at package scale","__init__'s 16 names have exactly one consumer (tests/test_crossover_v2_contracts.py:21, AST-verified); round_inputs re-exports four other modules' path constants and cli/crossover_prescriber.py:73 reaches through for them; capture_plan re-exports six spatial names including a private one","Delete all three; point the test at .contracts, crossover_prescriber at state_paths/design_draft/repeat_floor/measurement_geometry, and capture_plan's readers at spatial (or contracts)",-60,T13-2-C6,,tuning,N
R-088,Should-fix,Should-fix,boundaries-cycles,jasper/web/,jasper/web/wake_corpus_setup.py:78-200,A 62-to-76-name re-export facade kept alive only by tests,"135 imported names, 62 never referenced in the file (including 4 privates at :124); a second script-verified count found 26 of 76 re-exports appear only inside the import block. Tests patch bridge_session directly at 29 sites vs 2 through the shim; the only production caller, __main__.py:193-201, uses three names",Delete the facade; point the 7 tests/test_wake_corpus_*.py files at jasper.wake_corpus.bridge_session / .recording_backend directly,-110,"T02-F,T16-1-C6",#4030 wake_corpus split,hardware-input,Y
R-089,Should-fix,Should-fix,boundaries-cycles,jasper/web/ + jasper/control/,"jasper/control/debug_control.py:37; usb_gadget_forensics.py:13; aec_endpoints.py:199,389; state_aggregate.py:799","jasper/control imports jasper/web internals, including a wizard's private function",state_aggregate.py:799 imports jasper.web.sources_setup._gather_state - a daemon reaching into a wizard's private function; three more control modules import web._common.write_env_file/read_env_file,Move write_env_file to jasper/env_load.py (its natural home beside the reader) and give _gather_state a public home outside the page module,0,"T08-E,p0-dup-adjacent,p0-config-7.12",,doctor-state-resilience,N
R-090,Should-fix,Should-fix,boundaries-cycles,jasper/web/,"jasper/web/correction_crossover_v2_republish.py:113,115,225,242; correction_crossover_v2_wired.py:804,1059,1082",Sibling modules take another module's private lock and private functions,"`with _host._state_lock:` holds correction_crossover_v2's module-private RLock across a read-modify-write, and calls _host._crossover_label/_candidate_summary; the wired driver reaches _host._start_speculative_group_close and _host._persist_terminal_failure twice, while _host.persist_conductor_state and .drive_group_close in the same file are public",Publish one update_v2_state(fn) context manager beside save_v2_state as the only cross-module door and promote the four private names,0,"T16-1-C4,T16-2-C9",,tuning,N
R-091,Should-fix,Should-fix,boundaries-cycles,jasper/active_speaker/,"jasper/active_speaker/attempts_loop.py:629-640; playback_route.py:132-135,196-197","A stdlib-only kernel imports the 4,636-LOC god flow for one float","material_improvement_db() does `from jasper.active_speaker.crossover_v2_flow import PREDICTED_SPEC_MATERIAL_IMPROVEMENT_DB` on every call; separately playback_route lazily imports OUTPUTD_LEGAL_ENDPOINT_DEVICES and active_topology_requires_roleful_graph back from runtime_contract, forming the 2-node loop staging's whole subtree hangs off",Move the constant to crossover_v2/contracts.py (cutover S6.1 already designates it) and move the two names down into playback_route,0,"T14-4-C15,T14-2-C6",,tuning,N
R-092,Should-fix,Should-fix,boundaries-cycles,jasper/chip_aec/,jasper/chip_aec/health.py:34 -> alignment.py:22 -> audio_measurement/ramp.py,"A pure verdict table costs 186 modules, including asyncio and ssl",Measured: `import jasper.chip_aec.health` = 83 ms / 186 modules; `jasper.cli.audio_input_profile` = 217 ms / 215. health imports alignment for one 2-element frozenset; alignment imports audio_measurement.ramp for one two-line pure function. The reconciler runs 6 short-lived python -m shims per pass on a boot/udev path (ADR-0226),Move PER_UNIT_IDENTITY_FIELDS into health.py and have alignment import it back; add the three shims to tests/test_lazy_imports.py's ratchet with jasper.audio_measurement denied,-5,T07-C2,,hardware-input,Y
R-093,Should-fix,Should-fix,boundaries-cycles,jasper/peering/,jasper/peering/__init__.py:59-65; jasper/identity.py:42,Every jasper.identity consumer eagerly loads the peering arbitration state machine,"identity.py:42 does `from .peering import config`, and the package __init__ eagerly imports rank + state; verified: `python3 -c ""from jasper.peering import config""` leaves jasper.peering.rank and .state in sys.modules. The module's own docstring at :38-43 promises lazy imports so the cost stays light when peering is OFF","Drop the state/rank re-exports (only load_config is used through the package, at control/server.py:875)",0,T09-C4,,steward-general,N
R-094,Should-fix,Should-fix,boundaries-cycles,jasper/cli/,jasper/cli/aec_bridge_corpus_lanes.py:36-42,"The AEC tile's only import cycle, created by one avoidable choice","It imports _add_loop_emitter and _bridge_stats (private) plus BridgeConfig/env_bool which aec_bridge only re-exports from aec_bridge_config, forcing aec_bridge.py:470's deferred import. Every other split module (capture, reference, telemetry) already takes stats as an argument","Import BridgeConfig/env_bool from aec_bridge_config, build emitters via telemetry, pass stats=; delete the deferred import and the cycle",0,T07-C3,,hardware-input,N
R-095,Should-fix,Should-fix,boundaries-cycles,jasper/bass_extension/,"jasper/bass_extension/adapters/base.py:109-111 <-> ported.py:22, sealed.py:23, passive_radiator.py:16","A real module-level import cycle inside adapters/, working only by file-order luck",base.py imports its three siblings at the bottom to build the ADAPTERS registry while each sibling imports base at the top; the targets<->adapters.base pair the brief named is NOT circular (base.py:14-15's targets import is TYPE_CHECKING-only). passive_radiator also reaches _curve_arrays and _filters_response_db privately,Move ADAPTERS construction into a registry.py (or __init__.py) that imports all four leaves downward; base.py stays a pure leaf; rename the two shared privates public,0,"T15-C2,T15-C3,T18-not-a-finding",ADR-0018 parked package,tuning,N
R-096,Should-fix,Should-fix,boundaries-cycles,jasper/web/,jasper/web/correction_crossover_v2.py (150 sites / 66 modules); sound_setup.py (121); correction_setup.py (145),~400 function-local imports whose stated rationale is defeated or absent,"correction_crossover_v2's one eager jasper.active_speaker import (:76-89) already pulls numpy via crossover_v2.journey -> branch_chain, so its ~146 lazy jasper.active_speaker.* imports buy nothing; sound_setup's ~100 are not cycle dodges (jasper/active_speaker imports jasper.web nowhere); correction_setup's 38 `from . import <sibling>` ARE real cycles. Measured: jasper.camilla 0.09 s, jasper.atomic_io 0.04 s, jasper.output_topology 0.14 s, none pulling numpy, re-imported locally 24 times",Hoist the habit category; keep genuine cycle dodges and import-cost dodges with a one-line reason each,-300,"T16-1-C2,T16-2-extra,T16-3-E",#4031,web-ui,N
R-097,Should-fix,Should-fix,boundaries-cycles,jasper/,jasper/ (116 top-level modules),jasper/ top level is where a file goes when nobody decided,"116 modules covering platform primitives, identity/network, a wake/audio-input cluster, config.py, and a residue (spotify_uri, airplay_mode, audio_lab, percentiles, os_fault) with no owner","Eight packages, zero left over: platform/ (19), net/ (8), identity/ (4), wake/ (12), audio/ (31), volume/ (8), sources/ (13), assistant/ (20); one mechanical git-mv + import-rewrite PR per package",0,T18-4,,steward-general,N
R-098,Should-fix,Should-fix,tuning-zone-structure,jasper/active_speaker/,"jasper/active_speaker/ (107 flat root files, 94,582 LOC + crossover_v2/ 63 files)",The flat 107-file active_speaker root tells a newcomer nothing,"commissioning_* x14, crossover_* x8, driver_* x6, measurement_* x5, commission_* x3 sit alphabetically adjacent sharing no layer; a reader cannot tell commission_load from commissioning_run without opening both. crossover_v2/ already proves the subpackage shape works",Four tiles independently proposed compatible groupings - see register.md section (g); reconcile into one subpackage plan and land it as mechanical git-mv PRs,0,"T14-1-A,T14-2-A,T14-3-A,T14-4-A",,tuning,N
R-099,Blocker,Should-fix,tuning-zone-structure,jasper/active_speaker/crossover_v2/,jasper/web/correction_crossover_v2.py:6286-6305; crossover_v2_flow.py:874; crossover_v2/session.py,Two session engines run in one request; the new one is subordinate,"The request builds a conductor (CrossoverV2Session, 3,703 LOC / 155 methods), persists it, then constructs a TuningSession whose play seam is bound to conductor.program_for_phase. Four facts are spelled twice: pose axis vocabulary, a session object, a banked take's record, a take id. crossover_v2_flow.py went 6,825->3,703 lines while methods went 158->155 - the shrink is prose and barrels, not organs",Land W5-b: make TuningSession the only session object and delete CrossoverV2Session's capture loop,0,"T13-2-A,T13-2-D",REFACTOR-CUTOVER W5-b,tuning,Y
R-100,Blocker,Should-fix,tuning-zone-structure,jasper/active_speaker/crossover_v2/,"jasper/active_speaker/crossover_v2/spatial.py:604,612,615 vs contracts.py:1340-1342",The pose-axis vocabulary is defined twice as independent string literals,"contracts.py:1339 says 'Owner: spatial.POSITION_AXES' and then re-spells 'horizontal'/'vertical'; measure_spec.py:30, session.py:23, angle_capture.py:43 and cli/measure.py:1005 read the contracts copy while spatial.py and capture_plan.py:453,460 read the spatial copy. Nothing checks they agree. Same for MARK_DISTANCE_M, POSITION_ROLE_*, _DESIGN_AXIS_GEOMETRY",Delete the spatial definitions; spatial imports from contracts (the numpy-free leaf consumers can already take),-40,T13-2-C1,,tuning,Y
R-101,Blocker,Should-fix,tuning-zone-structure,jasper/correction/,jasper/correction/session.py:2244-2444; jasper/correction/autolevel.py (whole),Two live level ramps; the kernel-backed one is unreachable from Room,"MeasurementSession.run_level_match / lock_level_match / ensure_level_match_volume have zero non-test callers (full-tree grep); Room's routes are /autolevel/{start,lock,cancel} -> _autolevel_controller. envelope.py:323 and status.py:387 publish level_match_snapshot(), permanently empty for Room","Delete the autolevel.py ramp and wire /autolevel/* to LevelMatchSession, or delete session's level-match half. Not both",-460,T11-C1,,tuning,Y
R-102,Blocker,Should-fix,tuning-zone-structure,jasper/active_speaker/,jasper/active_speaker/measured_candidate.py vs measured_crossover_candidate.py:5-16,Two rival measured-candidate models ship side by side,"measured_crossover_candidate's docstring: 'a new, standalone candidate model - it does not extend or reuse measured_candidate.MeasuredElectricalCandidate ... S5.9 of the design doc retires that flow', while web/correction_crossover_backend.py:1487 still routes tuning_owner='automatic' into the v1 commissioning_service.apply_candidate. Master-plan invariant 5 says handle_v2_apply is the only durable apply door - commissioning_apply is a second one","Owner decision, same question as the v1-lane blocker: retire or repair",,T14-4-C2,ADR-0228 row 9,tuning,Y
R-103,Should-fix,Should-fix,tuning-zone-structure,jasper/audio_measurement/,"jasper/audio_measurement/admitted_playback.py, playback.py, excitation_admission.py, excitation_artifacts.py, evidence_identity.py, calibration.py, bundles.py",Four systems under one package name; two are not shared filter maths,"The DSP kernel and the phase-analysis engine fit the charter; the admission/authority/async-playback cluster (~180 KB of asyncio, ALSA devices, one-shot artifacts and household copy) and the persistence/vendor-I/O cluster (HTTP scraping of daytonaudio.com, a /var/lib/jasper writer) do not. A newcomer asked where a vendor scraper lives would not guess audio_measurement",Propose an audio_measurement/admission/ subpackage; move calibration's fetch half to jasper/correction/,0,T12-2-A,,tuning,N
R-104,Should-fix,Should-fix,tuning-zone-structure,jasper/audio_measurement/,jasper/audio_measurement/delay_graph.py (268 LOC),delay_graph validates a CamillaDSP graph and contains no measurement,"Its only two consumers take prove_static_delay_binding and quantized_delay_ms (active_speaker/camilla_yaml.py:3113, measured_crossover_candidate.py:647); it also re-spells non-negotiable 1's 0.0 as a bare literal",Move to jasper/active_speaker/ and import DEFAULT_VOLUME_LIMIT_DB from camilla_config_contract,0,"T12-1-B,T12-1-C4",,tuning,N
R-105,Blocker-adjacent,Should-fix,duplicate-primitives,jasper/ (DSP),"jasper/sound/profile.py:905; deploy/assets/sound-profile/js/eq-math.js:35; jasper/active_speaker/linearization_fit.py:327; jasper/active_speaker/crossover_v2/feature_optics.py:99; jasper/bass_extension/alignment.py:28,86,119","Five filter-magnitude implementations, only one guarded pair","sound/profile._biquad_coeffs and the JS twin are CI-parity-checked against CamillaDSP's own coefficients (scripts/check-peq-parity.mjs, tests.yml:419); _highshelf_response_db admits the fork in its docstring; biquad_peaking has no guard; bass_extension/alignment uses an analog prototype that will disagree with the emitted digital filter near Nyquist. The prediction feeds prescriber decisions and the wizard graph, both of which drive DSP writes",Vectorize sound/profile._biquad_coeffs plus its magnitude evaluator into jasper/dsp_numpy.py; route linearization_fit and feature_optics onto it; fold or CI-guard the analog form,-150,"p0-dup-5,T05-E",,tuning,Y
R-106,Should-fix,Should-fix,duplicate-primitives,jasper/ (repo-wide),"jasper/json_fields.py:23 vs 25 hand-rolled copies in active_speaker/*, control/*, bass_extension/*, crossover_v2/*, audio_measurement/*",25 hand-rolled _finite_float/_finite_number/_positive_float with five incompatible signatures,"returns None (9 sites), raises with field_name (4), raises with field+reason (3), raises with field only (3), _positive_float variants (5). AST-confirmed identical bodies: alignment_prescription:188 == topology_prescription:225, driver_pad:58 == design_draft:196. jasper/json_fields.py is canonical with 21 consumers","One json_fields.finite_number(value, *, field, reason=None, required=True); delete the 25",-150,"p0-dup-6,T13-2-C3,T14-4-C8",,tuning,N
R-107,Should-fix,Should-fix,duplicate-primitives,jasper/ (repo-wide),"20+ modules defining _utc_now / _now_iso, incl. active_speaker x12-22, dsp_apply:165, enhanced_aec:85, output_hardware:433","One timestamp fact, 20+ spellings and three incompatible formats","15 byte-identical `time.strftime('%Y-%m-%dT%H:%M:%SZ', time.gmtime())`; plus voice/model_discovery.py:55 (datetime+replace), sound/profile.py:101 (isoformat, no Z), volume_diagnostics.py:49 and assistant_loudness.py:527 (microseconds retained) - a real interop hazard for artifacts that get compared. Two active_speaker modules import a sibling's private copy","One utc_now_iso() (jasper/json_fields.py or a 10-line jasper/clock.py, plus active_speaker/_common.utc_now); pick the Z form the artifacts already use",-60,"p0-dup-10,T14-1-F5,T14-3-C7,T14-4-C7",,steward-general,N
R-108,Should-fix,Should-fix,duplicate-primitives,jasper/ (repo-wide),"jasper/atomic_io.py vs jasper/dsp_apply.py:311, correction/replay_artifacts.py:69, active_speaker/commission_ramp.py:175,183, wifi_guardian_persistence.py:155-224, voice/model_discovery.py:282,294, fanin/latency_mode.py:99, cli/airplay_mode.py:55,62, peering/config.py:200, model_downloads.py:119,286, google_creds.py:233, active_speaker/speech_stimulus.py:143,227, audio_measurement/{calibration.py:521,540,bundles.py:157}, cli/aec_bridge_telemetry.py:325",atomic_io has 234 call sites and ~19 files still hand-roll the write,dsp_apply._atomic_write_json is byte-identical to atomic_write_json in a file that already imports atomic_write_text at :43; cli/airplay_mode.py:62-65 writes with the default umask then chmods - the exact wider-permission window atomic_io's docstring warns about; calibration.py:521 uses bare write_text() for a household record; four separate copies of 'write a WAV atomically' exist,"Route all of them onto atomic_io; add one atomic_write_wav(); make wifi_guardian_persistence call atomic_write_text(mode=0o600, durable=True)",-250,"p0-dup-4,T18-F2,T18-F9,T12-2-C2,T14-1-F11,T11-note,T07-C8,T17-2-C5",,steward-general,N
R-109,Should-fix,Should-fix,duplicate-primitives,tests/,tests/test_atomic_io_conventions.py:50-68,The one-atomic-writer ratchet keys on mkstemp/NamedTemporaryFile and misses the unsafe hand-rolls,"Fixed `path + '.tmp'` siblings are not concurrent-writer safe and publish at a predictable name, and 19 files escape the guard entirely - a guard that catches the safe hand-rolls and misses the unsafe ones is worse than none","Detect os.replace/os.rename anywhere outside atomic_io with an allowlist for genuine moves (accessories/reconcile:130, crossover_v2/prescription_spool:426, enhanced_aec_install)",+20,T18-F2,,steward-general,Y
R-110,Should-fix,Should-fix,duplicate-primitives,jasper/ (repo-wide),"jasper/env_file.py:62 read_value vs fanin/latency_mode.py:84, audio_quality.py:88, mic_mute_persistence.py:52, tool_state.py:72, ring_assets.py:240, wifi_guardian_persistence.py:93, enhanced_aec.py:285, accessories/mic_env.py:115","Eight private forks of env_file.read_value, with drift","audio_quality's omits the quote strip; accessories/mic_env's docstring says it 'mirrors jasper.config._env_mapping's validation' - a fourth vocabulary; wifi_guardian's deliberately keeps value whitespace for PSKs. Three canonical modules already exist with stated scopes (env_load, env_file, atomic_io.locked_*_env_file)",Migrate the eight onto env_file.read_value (with a keep-whitespace flag for the PSK case); fold env_file into env_load so 'which env parser?' has one answer,-130,"p0-dup-7,p0-config-M4,T18-B,T07-C7",,steward-general,N
R-111,Should-fix,Should-fix,duplicate-primitives,jasper/ (repo-wide),"jasper/config.py:90, log_event.py:90, voice/provider_state.py:53, conversation_history.py:455, sound/settings.py:82, mics/xvf3800.py:784, fanin_coupling.py:386, airplay_mode.py:15, active_speaker/measurement.py:96, peering/config.py:117, control/aec_endpoints.py:97, control/server.py:617, cli/aec_init.py:202, cli/aec_bridge_config.py:310, wake_corpus/bridge_session.py:404",Six-plus spellings of 'is this env value true' across ~25 sites,"{1,true,yes,on,enabled} x4, {1,true,yes,on} x9, {1,true,yes} x3, {yes,true,1} x1, {1,true,yes,y,on} x1, {on,true,1,yes,enabled} x1; usbgadget.network_wanted() inverts on != 'disabled'","One env_load.env_flag(name, default) + env_load.TRUTHY; the genuinely different semantics (usbgadget's opt-out, debug_mode's strict == '1') keep their own and say why",-100,"T18-F5,T02-E",,steward-general,N
R-112,Should-fix,Should-fix,duplicate-primitives,jasper/ (repo-wide),"jasper/service_units.py:167 vs control/system_metrics.py:713-737, web/_unit_snapshot.py:91-140, control/server.py:1008-1035, accessories/reconcile.py:315,526, web/_service_state.py:14, web/bluetooth_setup.py:137-164",The canonical systemd reader has one consumer and three rivals,"service_units.read_unit_states is consumed only by cli/doctor/_evidence.py:187, while its docstring claims soak and the control sampler read through it - half false: they share the roster and parser but not the reader. system_metrics rebuilds the command by hand and drops UnitFileState and returns {} where the canonical returns None; _unit_snapshot has its own parser, dataclass and regex and adds ExecMainStatus; bluetooth_setup spawns its own is-active per unit in a file that already imports the batched probe. Six more 'is this unit active' implementations across audio_validation, usb_mic, source_intent, multiroom/reconcile","Give read_unit_states an optional properties= tuple; port system_metrics and _unit_snapshot onto it (keeping their dataclasses as thin projections); delete control/server._systemd_show_unit, accessories._show_properties and bluetooth_setup._unit_active/_unit_available",-120,"T18-F4,p0-dup-17,T06-E,T16-3-C8",#4085 item 4,doctor-state-resilience,Y
R-113,Should-fix,Should-fix,duplicate-primitives,rust/,rust/jasper-fanin/src/json.rs:12; rust/jasper-outputd/src/json.rs:8; rust/jasper-tts-protocol/src/loudness.rs:821-900; jasper-fanin/src/state.rs:1338-1382; jasper-outputd/src/state.rs:2091-2145; jasper-host-clock/src/lib.rs:1898,json_string and the push_kv_* emitter family exist three times and are drifting,The two json.rs files are byte-identical bar the expect message; outputd factored out push_key and added push_kv_str_opt/_i64/_i64_opt while fanin still inlines the 3-line key emit six times; the shared crate has a third set named push_json_*. tts.rs:1494 additionally has a lossy escaper that deletes characters where json_string escapes them,Promote the shared crate's copy (both daemons already link it) and delete the two daemon-local sets and both json.rs files,-120,"T19-1-F5,T19-2-C1,T19-2-C2,T20-C14,T21-C9",#4085 item 3,hardware-input,N
R-114,Should-fix,Should-fix,duplicate-primitives,rust/,"rust/jasper-outputd/src/main.rs:1672-1762 vs rust/jasper-fanin/src/watchdog.rs:129,143,166",outputd hand-rolls unsafe sd_notify where fanin uses the crate,outputd is the only NOTIFY_SOCKET user in rust/ without the dependency; `grep sd-notify jasper-outputd/Cargo.toml` returns nothing,Add sd-notify to outputd and delete notify_systemd*,-110,"T19-1-F5,T20-C2",#4085 item 3,hardware-input,N
R-115,Should-fix,Should-fix,duplicate-primitives,rust/,"rust/jasper-outputd/src/{main.rs:71-104,1642,1651-1663, state.rs:34-40, config.rs:948-960} vs rust/jasper-fanin/src/{main.rs:59,61-113,541, state.rs:83,87, config.rs:1207-1275}","Six more daemon primitives twinned, one with an opposite contract",HELPER_STACK_BYTES mirrors verbatim; env_i64 re-implements jasper_env::env_parse with a different phrase; env_u64 is a verbatim twin; env_u32 has the SAME NAME and the OPPOSITE contract (fanin: non-negative with a warn-fallback; outputd: must be > 0 or bail) and fanin has a third env_u32_positive with a third meaning,One jasper-daemon crate (or extend jasper-env) for the shared items; rename the env_u32 twins env_u32_nonneg / env_u32_positive and move them into jasper-env,-100,"T20-C14,T19-1-E,p0-dup-19,T21-C9",#4085 item 3,hardware-input,N
R-116,Should-fix,Should-fix,duplicate-primitives,rust/,rust/jasper-outputd/src/main.rs:187-201 vs rust/jasper-fanin/src/mixer.rs:604-640,"The ring attach-error policy is written twice, once per consumer","Both are 'InvalidInput|InvalidData -> ConfigClassError -> exit 78, everything else -> restart' and both emit a <daemon>.<lane>.config_error / .attach_error pair",Move the classifier into jasper-ring - the crate whose error kinds define the split,-60,T20-C9,,hardware-input,N
R-117,Should-fix,Should-fix,duplicate-primitives,rust/,rust/jasper-outputd/src/state.rs:1948-1964 vs rust/jasper-fanin/src/state.rs:103,outputd's UDS accept loop still ships the blind-sleep bug fanin already fixed,"outputd uses set_nonblocking + sleep(ACCEPT_POLL_INTERVAL=500 ms), capping /state at ~2 reads/s; state.rs:60-70 quantifies the damage ('11 reads in 5.14 s on jts3') and justifies CHIP_REF_RECENT_WRITES=256 by it. fanin's 20-line poll()-based wait_for_listener is the fix",Adopt fanin's wait_for_listener; then re-evaluate whether the 256-entry ChipRefWriteRing is still needed,-100,"T20-C1,T19-2-D",,hardware-input,N
R-118,Should-fix,Should-fix,duplicate-primitives,jasper/audio_measurement/ + jasper/active_speaker/,"evidence_identity.py:83; excitation_admission.py:91; excitation_artifacts.py:234; program.py:398; null_walk.py:172,187; active_speaker/{baseline_profile.py:226, measurement.py:112, capture_geometry.py:420, crossover_preview.py:88,116, driver_safety.py:158, speech_stimulus.py:86, commissioning_receipt.py:145}","12+ canonical-JSON SHA-256 fingerprint implementations, three of them semantically different",evidence_identity.json_fingerprint is the owner (25 production importers) and validates via _freeze_json forcing ensure_ascii; baseline_profile._fingerprint passes default=str so a Path/datetime silently stringifies and distinct objects can collide; driver_safety._fingerprint does neither so a NaN emits invalid JSON. Repo-wide there are 8 [0-9a-f]{64} regexes and ~11 _sha256 field validators,Every fingerprint goes through json_fingerprint with default= as a parameter; the per-module 4-line wrapper becomes one call,-120,"T12-1-C2,T12-2-C11,T14-3-C12,T14-4-C9",,tuning,Y
R-119,Should-fix,Should-fix,duplicate-primitives,jasper/ (repo-wide),audio_measurement/bundles.py:170; model_downloads.py:62; cli/doctor/_shared.py:218; correction/fir_runtime.py:38; bass_extension/bench/render.py:180,Five copies of one 6-line sha256_file helper,Grep-confirmed identical shape in five modules,One owner (jasper/json_fields.py-adjacent or atomic_io); delete the four copies,-25,T11-E,,steward-general,N
R-120,Should-fix,Should-fix,duplicate-primitives,jasper/active_speaker/crossover_v2/,"driver_prescription.py:607,628,639,1108,1134; blend_prescription.py:556,679,683,919,945; alignment_prescription.py:188,420; topology_prescription.py:225,264; prescription_spool.py:190",The prescription intake plumbing is written three to four times,"_refuse is byte-identical in driver and blend plus a third in prescription_spool; _prescriber and _rationale differ only in a reason constant (AST-exact, 24 L and 17 L); _finite_or_none exists 4x; _read_artifacts is exact between alignment and topology (31 L); RATIONALE_MAX_CHARS = 1_200 is spelled in both prescription modules; _parse_prescription is j=0.80","One crossover_v2/prescription_intake.py parameterized by the refusal-reason vocabulary, built on jasper.json_fields.JsonFields",-260,"p0-dup-11,T13-2-C3",,tuning,N
R-121,Should-fix,Should-fix,duplicate-primitives,jasper/active_speaker/,"jasper/active_speaker/commission_load.py vs startup_load.py; crossover_level_run.py:115-141,390-446 vs commissioning_run.py:458-535; driver_base_trim.py:131, seat_level_reference.py:161, repeat_floor.py:129",Two parallel statefile skeletons plus three AST-exact kinded loaders,"load_commission_load_state == load_startup_load_state (:129), _record_commission_state == _record_state (:157) after normalization, plus _utc_now/_normalise_issue/_base_state; crossover_level_run and commissioning_run both declare SCHEMA_VERSION, STATE_KIND, DEFAULT_LOCK_TIMEOUT_S=2.0, _THREAD_LOCK, state_path(), _locked(), _sha256, _uuid_hex, _timestamp, _UUID_HEX_RE; the three kinded loaders are 19 L each of read -> isinstance -> kind -> schema check","Extract a ~120-LOC load_kinded_state/record_kinded_state skeleton parameterized by (kind, error_class, state_path); it subsumes all three concerns",-250,"p0-dup-8,p0-dup-18,T14-2-C4",,tuning,N
R-122,Should-fix,Should-fix,duplicate-primitives,jasper/active_speaker/,"jasper/active_speaker/commissioning_evidence.py (16 classes, 762/3,498 LOC); commissioning_receipt.py:227-1824 (9 classes, ~600 LOC)","~1,360 LOC of record boilerplate spelling each field list four times","Each class repeats: __post_init__ with one object.__setattr__ per field, _core() restating the field list AND the kind literal, an identical to_dict() ({**self._core(), 'fingerprint': ...}) x22, and from_mapping restating the field list a third time as a frozenset. commissioning_receipt._raw(raw, name) is a no-op alias for raw[name] used 40+ times",One declarative codec (field tuple -> _core + from_mapping) or a _FingerprintedRecord base taking {field: validator}; __post_init__ invariants stay untouched,-1200,"T14-4-C3,T14-3-C10",,tuning,N
R-123,Should-fix,Should-fix,duplicate-primitives,jasper/active_speaker/,"jasper/active_speaker/camilla_yaml.py:2084,2658,3276,3564,3783 and :2193,2792,3483,3720,3922,4014",Six emitters repeat a validation prologue; five repeat the write tail,grep 'forbidden_token = _forbidden_playback_token' -> 5 hits; resolve_camilla_latency_for_devices -> 6; `enable_rate_adjust_yaml = 'true' if ...` -> 6. Separately the devices: block is retyped in seven hand-written YAML templates (one stereo + six active) while only the leaf lines are shared,"One _validated_emit_axes(...) -> EmitAxes plus one _write_emitted(path, yaml, event=..., **fields) using log_event; then take the shared-leaf refactor into the devices block",-200,"T14-4-C4,T05-E",,tuning,N
